origem,slug,missao,tamanho,organizacao,integrador_aivt,custo,valor_num,moeda,valor_suspeito,custo_por_satelite,valor_num_por_satelite,financiador,trecho,url_fonte,categoria_coleta,no_recorte,pais,data_lancamento
tabela CubeSat Costs,cute,CUTE,6U,University of Colorado Boulder,In-house,"The budget for developing, assembling and operating CUTE through the summer of 2024 is about $5.5 million.",5500000,USD,,,,,,https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/,—,não,US,2021-09-27
tabela CubeSat Costs,daili,DAILI,6U (1x6U),Aerospace Corporation,In-house,Cost to completion was $3.2M.,3200000,USD,,,,NASA,,https://aerospace.org/press-release/aerospace-gets-28m-nasa-grant-study-atmosphere,—,não,US,2021-12-21
tabela CubeSat Costs,aistechsat,AISTECHSAT (DANU) 2U,2U,Aistech,GomSpace,"$1,570,000 for additional 6 DANU platforms and for AIVT of 10 DANU CubeSats",1570000,USD,,,,,,https://gomspace.com/news/gomspace-and-aistech-sign-new-agreement.aspx,B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,Spain,x_cancelled
tabela CubeSat Costs,deorbitsail,Deorbitsail,3U,EU FP7 consortium,SSTL,"$3,200,000 for the whole project and consortium including platform and launch",3200000,USD,,,,EU / European Commission,,https://cordis.europa.eu/project/rcn/97975/reporting/en,—,não,UK,2015-07-10
tabela CubeSat Costs,diamond-6u,Diamond 6U (Sky and Space Global),6U,Sky and Space,GomSpace,"$5,950,000 is the order value for the first batch of 8 CubeSats",5950000,USD,,,,,,https://gomspace.com/news/6u-agreement-between-gomspace-and-sky-and-spa.aspx,B - coleta de plataformas (DCS/IoT),sim,UK,x_cancelled
tabela CubeSat Costs,dover,DOVER,3U,RHEA Group,Open Cosmos,Co-funded by the UK Space Agency’s investment in the European Space Agency’s NAVISP.,,,,,,,,,—,não,UK,2023-01-09
tabela CubeSat Costs,duplex,DUPLEX,6U,CU Aerospace,NearSpace Launch,$1.7 million,1700000,USD,,,,NASA,,https://aerospace.illinois.edu/news/nasa-funds-long-standing-partners-cubesat-development?fbclid=IwAR1Fd1cpimSsh19dRQfbJpp5dSAj2M2bDkqmViQ5EYdYxYwBEzn8tMKytPo,—,não,US,2025-09-14
tabela CubeSat Costs,etpack-dmm-eem,E.T.PACK DMM & EEM,12U,Universidad Carlos III de Madrid,?,€5.5M,5500000,EUR,,,,EU / European Commission,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5419&context=smallsat,—,não,Spain,not launched
tabela CubeSat Costs,edison,Edison,8U,Space Inventor,Space Inventor,"$0.96M million for spacecraft, launch and operation.",960000,USD,,,,ESA (European Space Agency)The Danish MInistry of Higher Education and Science,,https://www.linkedin.com/posts/space-inventor_we-are-happy-to-announce-that-space-inventor-activity-6762415859404181505-M2qs/,—,não,Denmark,2025-01-14
tabela CubeSat Costs,eirsat-1,EIRSAT-1,2U,University College Dublin,In-house,€1.5 million,1500000,EUR,,,,Irish Research CouncilESA (European Space Agency),,https://europeanspaceflight.com/ireland-commit-3-3m-euros-more-to-esa-for-2024/,—,não,Ireland,2023-12-01
tabela CubeSat Costs,wyvern-cubesats,EPICHyper,6U,AAC Clyde Space,AAC Clyde Space,$12.1 million from the UK Space Agency together for the first and second phases.,12100000,USD,,,,UK Space Agency,,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,A - sensoriamento remoto,sim,UK,2023-11-11
tabela CubeSat Costs,et-smart-rss,ET-SMART-RSS,6U,Ethiopian Space Science & Technology Institute (ESSTI),Smart Satellite,$1.5 million in total funded jointly by the Belt & Road Initiative and Sunny Group.,1500000,USD,,,,,,,A - sensoriamento remoto,sim,Ethiopia,2020-12-22
tabela CubeSat Costs,facsat,FACSAT,6U,Colombian Air Force,GomSpace,"$770,000",770000,USD,,,,,,https://gomspace.com/news/the-colombian-air-force-initiates-its-second-.aspx,—,não,Colombia,2023-04-15
tabela CubeSat Costs,faraday-1,Faraday-1,6U,In-Space Missions,In-house?,£4.9 million for this and future validation missions.,4900000,GBP,,,,,,https://www.gov.uk/government/news/british-built-satellites-will-help-fight-climate-change-and-save-wildlife,—,não,UK,x_cancelled
tabela CubeSat Costs,gems-orbital-micro-systems,GEMS (Orbital Micro Systems),6U,Orbital Micro Systems,AAC Clyde Space,"$785,000",785000,USD,,,,UK Space Launch Programme,,https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-wins-8-msek-order-for-commercial-satellite-75931,A - sensoriamento remoto,sim,UK,x_cancelled
tabela CubeSat Costs,gomx-5,GOMX-5,8U,GomSpace,GomSpace,Over $2 million in total as of 2020.,2000000,USD,,,,,,https://gomspace.com/news/esa-and-gomspace-sign-contract-for-continuati.aspx,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,Denmark,not launched
tabela CubeSat Costs,hammer,HAMMER (IOD6),6U,Open Cosmos,Open Cosmos,£3 million to support the build of the new satellite,3000000,GBP,,,,UK Space Agency,,https://www.open-cosmos.com/news/open-cosmos-to-build-the-uk-pathfinder-atlantic-constellation-satellite-to-use-ai-to-improve-environmental-management,—,não,UK,2024-03-04
tabela CubeSat Costs,hellenic-space-dawn,Hellenic Space Dawn,8U,EMTech Space,?,€4 million,4000000,EUR,,,,,,https://www.kathimerini.gr/society/562723270/erchetai-sminos-ellinikon-nanodoryforon/,A - sensoriamento remoto,sim,Greece,2026-05-03
tabela CubeSat Costs,hermes,HERMES-SP,3U,INAF (National Institute for Astrophysics),Politecnico di Milano,"$3,950,000 for the whole consortium including 6 spacecraft (HERMES-SP, HERMES-TP) with launches and operations",3950000,USD,,,,EU / European CommissionItalian Space Agency (ASI),,https://cordis.europa.eu/project/rcn/218722/factsheet/en,—,não,Italy,2025-03-15
tabela CubeSat Costs,hyperion,Hyperion 1,12U,Inovor,Inovor,$3.85 million,3850000,USD,,,,Australian Defence Force,,https://www.minister.defence.gov.au/minister/melissa-price/media-releases/28-million-innovation-boost-australias-defence-industry,—,não,US,not launched
tabela CubeSat Costs,infante,Infante,16U,Tekever,In-house,$10 million for total costs of the consortium.,10000000,USD,,,,EU / European Commission,,https://www.tekever.com/projects/infante/,A - sensoriamento remoto; C - sinais cooperativos (AIS/ADS-B/RF),sim,Portugal,x_cancelled
tabela CubeSat Costs,inspiresat,InspireSAT,12U,StarSpec,?,$2.15 million,2150000,USD,,,,Canadian Space Agency,,https://spaceq.ca/starspec-12u-inspiresat-demo-satellite-launch-expected-mid-2027/,A(fraco) - câmera sem alvo declarado,não,Canada,not launched
tabela CubeSat Costs,intuition-1,Intuition-1,6U,KP Labs,AAC Clyde Space,"$1,200,000 for design, manufacturing, launch and early operations. $650,000 is for the platform.",1200000,USD,,,,,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-wins-5-msek-launch-order-from-kp-labs-69761?page=3,A - sensoriamento remoto,sim,Poland,2023-11-11
tabela CubeSat Costs,io-1,Io-1,4U,Iota Technology,AAC Clyde Space,$2.5 million for end-to-end 3-year mission.,2500000,USD,,,,,,https://investor.aac-clyde.space/en/press-releases/?slug=aac-clyde-space-wins-sek-25-5-m-order-for-magquest-mission-21158,—,não,US,2026-03-30
tabela CubeSat Costs,startical,Startical,16U,Startical,GomSpace,€14.5 million for the whole project including 3 spacecraft.,14500000,EUR,,,,,,https://gomspace.com/news/gomspace-has-been-chosen-to-develop-advanced-.aspx,C - sinais cooperativos (AIS/ADS-B/RF),sim,Spain,x_cancelled
tabela CubeSat Costs,gems-orbital-micro-systems,GEMS (Orbital Micro Systems),3U,Orbital Micro Systems,AAC Clyde Space,"$1,880,000 for four 3U IOD Mission platforms",1880000,USD,,,,UK Satellite Applications Catapult,,,A - sensoriamento remoto,sim,UK,x_cancelled
tabela CubeSat Costs,ionsat,IonSat,6U,Ecole Polytechnique,In-house,Budget total estimate: 1.4 M€.,,,,,,,,https://www.polytechnique.edu/recherche/chaires/les-chaires-de-transports-mobilites-et-espace/mecenat-denseignement-espace-science-et-defis-du-spatial/centre-spatial-de-lecole-polytechnique/ionsat,—,não,France,not launched
tabela CubeSat Costs,juventas,Juventas,6U,ESA (European Space Agency),GomSpace,$13 million to deliver spacecraft and payloads.,13000000,USD,,,,,,https://spacewatch.global/2020/08/esa-and-gomspace-sign-contract-for-implementation-of-the-juventas-cubesat-in-support-of-the-hera-mission/,—,não,France,2024-10-07
tabela CubeSat Costs,kelpie,Kelpie,3U,AAC Clyde Space,AAC Clyde Space,"$5,900,000 for the manufacturing, launch and long-term operations of two CubeSats",5900000,USD,,,,,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-to-deliver-enhanced-ais-data-exclusively-to-orb-70246,C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-06-12
tabela CubeSat Costs,kepler-tars,TARS (Kepler),6U,Kepler Communications,AAC Clyde Space,"$880,000 grant for the mission (actual CubeSat costs unknown)",880000,USD,,,,UK Satellite Applications Catapult,,,B - coleta de plataformas (DCS/IoT),sim,Canada,2020-09-03
tabela CubeSat Costs,kleos-space,Kleos Space - Polar Vigilance Mission (KSF1),6U,Kleos Space,ISISpace,$2.5 million for the 4 satellite contract,2500000,USD,,,,,,https://www.satellitetoday.com/launch/2020/10/23/kleos-space-selects-manufacturer-for-polar-vigilance-mission-ksf1-nanosatellite/,C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-01-03
tabela CubeSat Costs,kleos-space,Kleos Scouting Mission (KSM1),6U,Kleos Space,GomSpace,$2.83 million for 4 satellites,2830000,USD,,,,,,https://www.linkedin.com/feed/update/urn:li:activity:6449905862378164224/,C - sinais cooperativos (AIS/ADS-B/RF),sim,UK,2023-01-03
tabela CubeSat Costs,kss-bobcat,KSS-BOBCAT,6U,Kawa Space,AAC Clyde Space,$1.6M,1600000,USD,,,,,,https://www.satelliteevolution.com/post/aac-clyde-space-wins-sek-16-1-m-satellite-order-from-kawa-space,A - sensoriamento remoto,sim,India,not launched
tabela CubeSat Costs,kuwaitsat-1,KuwaitSat-﻿1,2U,Kuwait University,NanoAvionics,"$970,000",970000,USD,,,,Kuwait Foundation for the advancement of Sciences (KFAS),,https://english.news.cn/20220916/b70417c860e144e3a13ec34aaa421b69/c.html,A(fraco) - câmera sem alvo declarado,não,Kuwait,2023-01-03
tabela CubeSat Costs,llited,LLITED,1.5U,Aerospace Corporation,In-house,"$2,520,000 for two spacecraft and mission including launch and operations",2520000,USD,,,,NASA,,https://aerospace.org/press-release/aerospace-awarded-nasa-llited-grant,A - sensoriamento remoto,sim,US,2023-04-15
tabela CubeSat Costs,lusospace-8u,Lusiada (LusoSpace),8U,LusoSpace,In-house,AAC Clyde Space won a GBP 4.3 M order for 11 satellite kits from LusoSpace.,4300000,GBP,,,,,,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,C - sinais cooperativos (AIS/ADS-B/RF),sim,Portugal,not launched
tabela CubeSat Costs,m-argo,M-ARGO,12U,ESA (European Space Agency),GomSpace,"$450,000 for Phase-A",450000,USD,,,,ESA (European Space Agency),,https://gomspace.com/news/gomspace-to-design-worlds-first-stand-alone-n.aspx,A(fraco) - câmera sem alvo declarado,não,France,not launched
tabela CubeSat Costs,macsat,MACSAT,6U,OQ Technology,NanoAvionics,$2.4 million,2400000,USD,,,,ESA (European Space Agency)Luxembourg,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2023-10-09
tabela CubeSat Costs,mantis-us,MANTIS (US),16U,University of Colorado Boulder,In-house?,$8.5M,8500000,USD,,,,,,https://lasp.colorado.edu/missions/mantis/,—,não,US,not launched
tabela CubeSat Costs,marco,MarCO,6U,NASA Jet Propulsion Laboratory,In-house,"$18,500,000 for two spacecraft and all project costs",18500000,USD,,,,NASA,,https://mars.nasa.gov/news/8408/beyond-mars-the-mini-marco-spacecraft-fall-silent/,A - sensoriamento remoto,sim,US,2018-05-05
tabela CubeSat Costs,mh1,MH-1 (AEROS),3U,CEiiA,?,Investment of €2.8 million funded by PT2020.,2800000,EUR,,,,,,https://cmuportugal.org/media/mh-1-the-first-satellite-totally-developed-in-portugal-was-launched-to-space/,A - sensoriamento remoto; B - coleta de plataformas (DCS/IoT),sim,Portugal,2024-03-04
tabela CubeSat Costs,mir-sat1,MIR-SAT1,1U,Mauritius Research Council,AAC Clyde Space,"$405,00 for platform, operations, ground stations and training.",40500,USD,sim,,,Mauritius Research Council,,http://investor.aacmicrotec.com/pressmeddelanden/aac-microtec-formalizes-collaboration-with-mauritius-researc-67858?page=4,A - sensoriamento remoto,sim,Mauritius,2021-06-03
tabela CubeSat Costs,mobius,MOBIUS,3U,Galaxia,In-house,$2.8 million,2800000,USD,,,,Canadian Space Agency,,https://spaceq.ca/galaxias-mobius-1-progresses-towards-june-launch/,—,não,Canada,2025-06-23
tabela CubeSat Costs,nanomagsat,NanoMagSat,16U,Open Cosmos,Open Cosmos,€34.6M,34600000,EUR,,,,ESA (European Space Agency),,https://www.ipgp.fr/en/news-and-agenda/news/la-mission-nanomagsat-obtient-le-feu-vert-de-lesa/,A - sensoriamento remoto,sim,UK,not launched
tabela CubeSat Costs,narsscube,NARSSCube-2,1U,National Authority for Remote Sensing and Space Sciences (NARSS),In-house,$60000,60000,USD,,,,,,http://satelliteprome.com/news/egypt-sends-cubesat-to-international-space-station/,A - sensoriamento remoto,sim,Egypt,2019-09-24
tabela CubeSat Costs,neptuno,NEPTUNO,3U,Elecnor Deimos,In-house,$2.8M is the total budget.,2800000,USD,,,,ERDF (European Regional Development Fund)Self-funded,,https://elecnor-deimos.com/portfolio/neptuno/,—,não,Spain,2021-06-30
tabela CubeSat Costs,nslcomm-nslsat,NSLSat,6U,BeetleSat (NSLComm),AAC Clyde Space,"$1.5 million for the &U satellite, launch and operations plus a ground segment software solution.",1500000,USD,,,,,,https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-wins-15-msek-satellite-order-from-nslcomm-74601,—,não,Israel,2023-01-03
tabela CubeSat Costs,ops-sat,OPS-SAT,3U,ESA (European Space Agency),Graz University of Technology,$2.66 million,2660000,USD,,,,,,https://www.eurekalert.org/pub_releases/2019-12/guot-ssl121819.php,A(fraco) - câmera sem alvo declarado,não,Austria,2019-12-18
tabela CubeSat Costs,ops-sat-volt,OPS-SAT VOLT,16U,Craft Prospect,AAC Clyde Space,$2.5 million,2500000,USD,,,,,,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,A - sensoriamento remoto,sim,UK,not launched
tabela CubeSat Costs,orca,ORCA-8,6U,DARPA,In-house,$4.5 million for the program,4500000,USD,,,,US Air Force,,https://www.aflcmc.af.mil/News/Article-Display/Article/2034623/afrl-technology-set-for-launch-to-international-space-station/,—,não,US,2021-02-20
tabela CubeSat Costs,outernet-1u,Outernet 1U,1U,Outernet,AAC Clyde Space,"$1,250,000 for three Outernet CubeSat platforms",1250000,USD,,,,UK Space Agency,,http://www.spacedaily.com/reports/Clyde_Space_wins_Outernet_contract_999.html,—,não,US,x_cancelled
tabela CubeSat Costs,pearls,PEARLS (Sky and Space Global),8U,Sky and Space,GomSpace,"$5,950,000 is the order value for the first batch of 8 CubeSats",5950000,USD,,,,,,https://gomspace.com/news/6u-agreement-between-gomspace-and-sky-and-spa.aspx,B - coleta de plataformas (DCS/IoT),sim,UK,x_cancelled
tabela CubeSat Costs,phasma,Phasma,3U,Libre Space Foundation,In-house,€2 million,2000000,EUR,,,,,,https://news.satnews.com/2023/07/20/libre-space-foundations-2-million-euros-phasma-project-with-esa-for-development-of-three-open-source-cubesats/,—,não,Greece,x_cancelled
tabela CubeSat Costs,pisat-poland,PIAST,6U,Poland’s Armed Forces,Creotech,"$18 million, of which about 40 percent will be allocated to Creotech Instruments to finance its share of the work.",18000000,USD,,,,Poland's National Center for Research and Development,,https://spacenews.com/polish-armed-forces-enlist-industry-consortium-for-imaging-nanosatellites/,A - sensoriamento remoto,sim,Poland,x_cancelled
tabela CubeSat Costs,pixl-1,PIXL-1,3U,DLR (German Aerospace Center),GomSpace,"$560,000 for the single CubeSat platform",560000,USD,,,,DLR (German Aerospace Center),,https://gomspace.com/news/gomspace-closes-order-for-a-nano-satellite-pl.aspx,—,não,Germany,2021-01-24
tabela CubeSat Costs,polsir,PolSIR,12U,Vanderbilt University,Blue Canyon,"Up to $37 million, not including launch costs.",37000000,USD,,,,,,https://news.vanderbilt.edu/2023/05/25/vanderbilt-universitys-ralf-bennartz-to-lead-nasa-mission-to-study-ice-clouds/,—,não,US,not launched
tabela CubeSat Costs,lusospace-3u,Lusiada (LusoSpace),3U,LusoSpace,In-house,AAC Clyde Space won a GBP 4.3 M order for 11 satellite kits from LusoSpace.,4300000,GBP,,,,,,https://www.aac-clyde.space/articles/interim-report-for-aac-clyde-space-ab-publ-january-march-2024,C - sinais cooperativos (AIS/ADS-B/RF),sim,Portugal,2025-01-14
tabela CubeSat Costs,prefire,PREFIRE,6U,University of Wisconsin,?,$33 million,33000000,USD,,,,,,https://spacenews.com/rocket-lab-to-launch-pair-of-nasa-earth-science-cubesats/,A - sensoriamento remoto,sim,US,2024-06-05
tabela CubeSat Costs,race-esa,RACE (ESA),6U,ESA (European Space Agency),GomSpace,"$450,000 for the first phase A of two CubeSats for the larger consortium",450000,USD,,,,ESA (European Space Agency),,https://gomspace.com/news/gomspace-signs-contract-with-the-european-spa.aspx,—,não,France,x_cancelled
tabela CubeSat Costs,eps-maccs,SCOUT-1 (EPS-MACCS),12U,GomSpace,GomSpace,"Contract value is EUR 24,000,000. GomSpace revenue impact is EUR 10,000,000, whereof direct GomSpace revenue share will be EUR 7,000,000.",24000000,EUR,,,,,,https://gomspace.com/news/esa-and-gomspace-sign-contract-to-implement-e.aspx,A - sensoriamento remoto,sim,Denmark,x_cancelled
tabela CubeSat Costs,seahawk,SeaHawk,3U,University of North Carolina Wilmington,AAC Clyde Space,"$1,680,000 for two CubeSat platforms",1680000,USD,,,,Gordon and Betty Moore Foundation,,http://www.satnews.com/story.php?number=972377587 ,A - sensoriamento remoto,sim,US,x_cancelled
tabela CubeSat Costs,seam,SEAM,3U,Royal Institute of Technology (KTH),GomSpace,"$3,000,000 for the whole project and consortium including platform and launch",3000000,USD,,,,EU / European Commission,,https://cordis.europa.eu/project/rcn/188846/factsheet/en,—,não,Sweden,2019-07-05
tabela CubeSat Costs,soar,SOAR,3U,University of Manchester,GomSpace,€5.7 million,5700000,EUR,,,,EU / European Commission,,https://discoverer.space/soar-satellite-for-orbital-aerodynamics-research/,—,não,UK,2021-06-03
tabela CubeSat Costs,spirit,SpIRIT,6U,University of Melbourne,Inovor,AU$7 million.,7000000,AUD,,,,Australian Space Agency,,https://www.space.gov.au/australian-spirit-launches-to-space,A(fraco) - câmera sem alvo declarado,não,Australia,2023-12-01
tabela CubeSat Costs,sprite,SPRITE,12U,University of Colorado Boulder,In-house,$4 million,4000000,USD,,,,,,https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/,—,não,US,not launched
tabela CubeSat Costs,sroc,SROC,12U,Politecnico di Torino,Terran Orbital,$4.7 million,4700000,USD,,,,ESA (European Space Agency),,https://terranorbital.com/terran-orbital-awarded-4-7-million-contract-by-european-space-agency/,A - sensoriamento remoto,sim,Italy,not launched
tabela CubeSat Costs,sulis,SULIS,12U,Northumbria University,?,$105 million for the whole consortium,105000000,USD,,,,UK Space Agency,,https://sulis.space/management-structure/,A(fraco) - câmera sem alvo declarado,não,UK,x_cancelled
tabela CubeSat Costs,sunrise,SunRISE,6U,NASA Jet Propulsion Laboratory,Utah State University Space Dynamics Laboratory,"$62.6 million to design, build, and launch the SunRISE mission.",62600000,USD,,,,,,https://www.nasaspaceflight.com/2020/03/sunrise-mission-study-giant-solar-particle-storms/,—,não,US,not launched
tabela CubeSat Costs,swarm-ex,SWARM-EX,3U,Olin College,In-house,$4 million,4000000,USD,,,,US National Science Foundation (NSF),,https://digitalcommons.usu.edu/smallsat/2022/all2022/96/,—,não,US,not launched
tabela CubeSat Costs,tempest-d,TEMPEST-D,6U,Colorado State University,Blue Canyon,$8.2 million,8200000,USD,,,,,,http://www.spacedaily.com/reports/Small_nimble_CSU_satellite_has_surpassed_a_year_in_space_999.html,A - sensoriamento remoto,sim,US,2018-05-21
tabela CubeSat Costs,tiger-2,Tiger-2,6U,OQ Technology,NanoAvionics,$2.4 million,2400000,USD,,,,ESA (European Space Agency)Luxembourg,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2021-06-30
tabela CubeSat Costs,tiger-oqtechnology,Tiger-4,6U,OQ Technology,NanoAvionics,$2.4 million,2400000,USD,,,,ESA (European Space Agency)Luxembourg,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2024-03-04
tabela CubeSat Costs,tiger-oqtechnology,Tiger-7,6U,OQ Technology,NanoAvionics,$2.4 million,2400000,USD,,,,ESA (European Space Agency)Luxembourg,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2024-03-04
tabela CubeSat Costs,tiger-oqtechnology,Tiger-8,6U,OQ Technology,NanoAvionics,$2.4 million,2400000,USD,,,,ESA (European Space Agency)Luxembourg,,https://www.oqtec.space/news/oq-techsigns-2-million-euro-contract-with-esa,B - coleta de plataformas (DCS/IoT),sim,Luxembourg,2024-03-04
tabela CubeSat Costs,ukube-1,UKube-1,3U,UK Space Agency,AAC Clyde Space,"$1,000,000 for CubeSat platform and ground segment",1000000,USD,,,,UK Space Agency,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/350503/National_Space_Programmes_2014_to_2015.pdf,A - sensoriamento remoto,sim,UK,2014-07-08
tabela CubeSat Costs,vpm,VPM,6U,Air Force Research Laboratory (AFRL),In-house,$4.5 million for the program,4500000,USD,,,,US Air Force,,https://www.aflcmc.af.mil/News/Article-Display/Article/2034623/afrl-technology-set-for-launch-to-international-space-station/,—,não,US,2019-12-05
tabela CubeSat Costs,windcube,WindCube,6U,National Center for Atmospheric Research (NCAR),In-house?,$6.5 million,6500000,USD,,,,NASA Science Mission Directorate Heliophysics Division,,https://digitalcommons.usu.edu/smallsat/2022/all2022/62/,—,não,US,not launched
tabela CubeSat Costs,xspancion,xSPANCION,6U,AAC Clyde Space,AAC Clyde Space,$12.1 million from the UK Space Agency together for the first and second phases.,12100000,USD,,,,UK Space Agency,,https://spacenews.com/aac-clyde-space-to-develop-cubesats-to-offer-array-of-services/,A - sensoriamento remoto,sim,UK,not launched
tabela CubeSat Costs,xvi,XVI,12U,Viasat,Blue Canyon,$10 million for the whole project.,10000000,USD,,,,,,https://spacenews.com/viasat-selected-to-develop-military-link-16-communications-satellite-in-low-earth-orbit/,—,não,US,2023-06-12
tabela CubeSat Costs,ymir,Ymir,3U,"AOS (AAC Clyde Space, Saab, Orbcomm)",AAC Clyde Space,$1.94 million,1940000,USD,,,,Swedish Transport Administration,,https://investor.aac-clyde.space/en/press-releases/aac-clyde-space-saab-and-orbcomm-to-bring-the-next-generatio-79059,C - sinais cooperativos (AIS/ADS-B/RF),sim,Sweden,not launched
texto livre (Description),50sat,$50Sat,PocketQube 1.5p,Morehead State University,,$50,50,USD,,,,,Demonstrate that very low cost satellites are viable in low Earth orbit. The low build cost of $50SAT (less than $250 in parts) means that Engineering models are readily affordable by schools and colleges. The PocketQu,,—,não,US,2013-11-21
texto livre (Description),50sat,$50Sat,PocketQube 1.5p,Morehead State University,,$250,250,USD,,,,,Demonstrate that very low cost satellites are viable in low Earth orbit. The low build cost of $50SAT (less than $250 in parts) means that Engineering models are readily affordable by schools and colleges. The PocketQube chassis has no pr,,—,não,US,2013-11-21
ficha da missão (campo Costs),aerocube-15,AeroCube-15B,3U,Aerospace Corporation,,$4.1 million for the whole program.,4100000,USD,,,,,,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4718&context=smallsat,A - sensoriamento remoto,sim,US,2019-11-02
ficha da missão (campo Costs),aistechsat,DANU 10,2U,Aistech,"AIVT by
GomSpace","$1,570,000 for additional 6 DANU platforms and for AIVT of 10 DANU CubeSats",1570000,USD,,,,,,https://gomspace.com/news/gomspace-and-aistech-sign-new-agreement.aspx,B - coleta de plataformas (DCS/IoT); C - sinais cooperativos (AIS/ADS-B/RF),sim,Spain,x_cancelled
