nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
AISSat-1,aissat-1,https://www.nanosats.eu/sat/aissat-1.html,2010-07-12,Was operational until 2020-12-31? (News from August 2020 about battery degradation and working at reduced capacity in the recent years),Was operational,C - sinais cooperativos (AIS/ADS-B/RF),sim,,,Batteries cannot supply enough power to power the satellite anymore.,Norwegian Space Centre,Norway,7 kg,Demonstrate space-based AIS detection.
RAX,rax,https://www.nanosats.eu/sat/rax.html,2010-11-20,"Was operational until 2011-01-19, 2 months. Solar panel degradation.",Was operational,—,não,,,Solar panel degradation.,University of Michigan,,3U,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.
M-Cubed,m-cubed,https://www.nanosats.eu/sat/m-cubed.html,2011-10-28,"Reentry 2024-06-30. Was semi-operational. Became conjoined with HBRE and could not receive signals, but transmitted beacon.","Reentered, Was semi-operational",A - sensoriamento remoto,sim,,,"Became conjoined with HBRE and could not receive signals, but transmitted beacon.",University of Michigan,,1U,Demonstrate CubeSat platform and image Earth.
RAX-2,rax-2,https://www.nanosats.eu/sat/rax-2.html,2011-10-28,Reentry 2024-10-06. Was operational until 2013-04-20.,"Reentered, Was operational",—,não,,,Both radios are inactive and the silence is caused by an upstream anomaly on the flight computer or power system.,University of Michigan,US,3U,Investigate causes of upper atmospheric/ionospheric plasma turbulence by studying large plasma formations.
PW-Sat,pw-sat,https://www.nanosats.eu/sat/pw-sat.html,2012-02-13,Reentry 2014-10-28. Was operational until 2012-12-23.,"Reentered, Was operational",—,não,,,Problems with the satellite's energy balance and hardware issue with communication module.,Warsaw University of Technology,,1U,Demonstrate deorbiting method with Shape Memory Alloy based sail.
ROBUSTA-1A,robusta-1a,https://www.nanosats.eu/sat/robusta-1a.html,2012-02-13,"Reentry 2015-01-28. No signal. Faint signals for few days, battery charging problems.","Reentered, No signal",—,não,,,"Faint signals for few days, battery charging problems.",University of Montpellier,France,1U,Measure the radiation induced degradation of electronic devices.
RAIKO,raiko,https://www.nanosats.eu/sat/raiko.html,2012-07-21,Reentry 2013-08-06. Was operational until 2013-07-15. For the last 20 days only beacons.,"Reentered, Was operational",—,não,,,Assumed that the frequency lock function of on-board receiver was easily terminated because the satellite rotation speed was fast.,Tohoku University,,2U,Demonstrate technologies for larger satellites including CMOS and CCD sensors.
CP5,cp5,https://www.nanosats.eu/sat/cp5.html,2012-09-13,Was operational until 2013-01-XX? (Last JA0CAW report from 2012-12-29),Was operational,—,não,,,"Attempted to
deploy their solar sail, but lost contact with CP-5 shortly after.",California Polytechnic State University (Cal Poly),US,1U,De-orbiting experiment using a thin-film deployable mechanism.
CSSWE,csswe,https://www.nanosats.eu/sat/csswe.html,2012-09-13,Was operational until 2014-12-22. Battery degradation (Official website),Was operational,—,não,,,Battery degradation and not enough power to receive or transmit data.,University of Colorado Boulder,US,3U,Measure the directional differential flux of Solar Energetic Protons (SEPs) and Earth’s radiation belt electrons.
CXBN,cxbn,https://www.nanosats.eu/sat/cxbn.html,2012-09-13,Was semi-operational until 2013-01-XX. Too weak signal for science mission (eoPortal),Was semi-operational,—,não,,,Weak transmit SNR owing to an anomalous low power mode.,Morehead State University,US,2U,Measure cosmic x-ray background in the 30-50 keV range.
Re,re-stare,https://www.nanosats.eu/sat/re-stare.html,2012-09-13,Was semi-operational until? Problems with communication.,Was semi-operational,—,não,,,Problems with communication.,LLNL (Lawrene Livermore National Laboratory),US,3U,Observe objects in space for space situational awareness and orbital parameters refinement.
AAUSAT3,aausat3,https://www.nanosats.eu/sat/aausat3.html,2013-02-25,Was operational until 2014-09-17. Power production gradually decreased until it was too low. (eoPortal and official website),Was operational,C - sinais cooperativos (AIS/ADS-B/RF),sim,,,Power production gradually decreased until it was too low due to solar cell degradation.,Aalborg University,Denmark,1U,Educational space systems engineering and testing AIS receivers.
BEESAT-2,beesat-2,https://www.nanosats.eu/sat/beesat-2.html,2013-04-19,Reentry 2024-02-02. Was operational (Last report on social media 2023-04-21 last checked 2023-06-08),"Reentered, Operational",A - sensoriamento remoto,sim,"BEESAT-3 has concluded its mission after more than 10 years, surpassing its intended lifespan! Our HISPICO S-band transmitter operated flawlessly until the final moment - mission successfully accomplished!",https://www.linkedin.com/posts/iq-spacecom_iqspacecom-beesat3-missionaccomplished-activity-7158044288000413696-83DE?utm_source=share&utm_medium=member_desktop,,Technical University of Berlin,Germany,1U,Educational and technology demonstrations of reaction wheels and camera.
NEE-01 Pegaso,nee-01-pegaso,https://www.nanosats.eu/sat/nee-01-pegaso.html,2013-04-26,"Was semi-operational until 2017-11-XX. Was operational until 2013-05-23. Collided with Tsyklon debris, but was heard through NEE-02. (Personal contact 2018-08-07)",Was semi-operational,—,não,,,"Collided with Tsyklon debris, but was heard through NEE-02.",EXA (Ecuador Space Agency),Ecuador,1U,Transmit live video feed from orbit with SSTV.
ESTCube-1,estcube-1,https://www.nanosats.eu/sat/estcube-1.html,2013-05-07,Was operational until 2015-05-19. Solar panel degradation lead to negative power production state and batteries were completely depleted. No more signals heard after that. Probably the command to silence the satellite went through.,Was operational,A(fraco) - câmera sem alvo declarado,não,,,Solar panel degradation lead to negative power production state and batteries were completely depleted. Command to turn off PA was sent and no more signals heard after that.,University of Tartu,Estonia,1U,"Educational training, testing deployment of 10 m tether for deorbiting and camera."
CAPE-2,cape-2,https://www.nanosats.eu/sat/cape-2.html,2013-11-20,Reentry 2014-10-23. Was semi-operational? Batteries dead and only works in sunlight.,"Reentered, Semi-operational",—,não,,,Batteries dead and only works in sunlight.,University of Louisiana at Lafayette,US,1U,Demonstrate CubeSat platform technologies plus voice repeater payload.
KYSAT II,kysat-ii,https://www.nanosats.eu/sat/kysat-ii.html,2013-11-20,Reentry 2015-02-12. Was operational until 2014-02-25. Was semi-operational until?,"Reentered, Was operational",A(fraco) - câmera sem alvo declarado,não,,,"Encountered a radiation-induced latchup that drained the batteries (suspected cause: X4.9 solar flare on 25 February, largest of 2014 so far). Due to this effect, the subsystems suffer a loss of power approximately every hour causing a reset of the C&DH and radio.",Kentucky universities,US,1U,Demonstrate CubeSat platform technologies including stellar gyroscope and camera.
ORSES,orses,https://www.nanosats.eu/sat/orses.html,2013-11-20,"Reentry 2016-01-03. Was operational until 2013-11-23, a few days.","Reentered, Was operational",—,não,"SMDC-ONE provided valuable telemetry data, demonstrated the retrieval and relay of Unattended Ground Sensor (UGS) data, and relayed data files (text and images) between ground stations located at Redstone Arsenal, AL, and Colorado Springs, CO. Contact between the Ground Station at SMDC Huntsville and SMDC-ONE was made on the first orbit and maintained between the satellite and ground stations on every orbit except one during the orbital life. That one exception was due to operator error. The maiden SMDC-ONE accomplished all mission objectives and after 35 days on orbit, SMDC-ONE re-entered Earth’s atmosphere.
The payload radio was able to pull from either the battery or raw solar panel voltage thanks to the radio’s internal power controller. This allowed the payload radio to operate even after complete failure of the flight computer (FC) and Electrical Power System (EPS) Controller card. The SMDC-ONE flight computers were prone to on-orbit resets and all experienced total flight computer failure within months of on-orbit operation.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat,,US Army Space and Missile Defense Command,,3U,Provide communications and data capabilities for underserved tactical users based on SMDC-ONE.
Delfi-n3Xt,delfi-n3xt,https://www.nanosats.eu/sat/delfi-n3xt.html,2013-11-21,"Was operational until 2014-02-21. Contact lost. Came back alive in March 2021, but details to be announced.","Semi-operational, ?, Was operational",—,não,,,Eectric fault on the data bus caused by the transponder is the current hypothesis.,Delft University of Technology,Netherlands,3U,"Education, technology demonstration, CubeSat bus advancement and cold gas miccropropulsion."
MOVE,move,https://www.nanosats.eu/sat/move.html,2013-11-21,Reentry 2026-02-26. Was operational until 2013-12-21. On-Board Computer damaged and only name is sent.,"Reentered, Was operational",—,não,,,On-Board Computer damaged and only name is sent.,Technical University of Munich (TUM),Germany,1U,Educational training and CubeSat platform development and testing solar cells.
OPTOS,optos,https://www.nanosats.eu/sat/optos.html,2013-11-21,Was operational until 2016-09-19 (Publication from 2019),"Was operational, ?",—,não,"In the summer of 2014, the commissioning phase was ended. During this phase, the Survival On Board Software (OBSW) was validated and the Nominal OBSW was activated and validated in orbit.
Unfortunately, the activation of the tasks management related with attitude control failed. At this point, the satellite had been in orbit for more than 2 years. Therefore, the second phase of the APIS operation started at the end of January 2016 without attitude determination and control subsystem (ADCS).
he shutter was opened successfully and the first image was taken on February 5, 2016 over an area of the American state of Wyoming (Medicine Bow National Forest). The parameters of this image were 610 km orbit height, 324 × 347 pixels (Earth swath of 66 km × 71 km), 204 m resolution, and 2 ms integration time.
The communication with the OPTOS satellite was lost in September 19, 2016 after almost 3 years in orbit.",https://www.researchgate.net/publication/333002944_APIS_the_miniaturized_Earth_observation_camera_on-board_OPTOS_CubeSat | https://www.researchgate.net/publication/333002944_APIS_the_miniaturized_Earth_observation_camera_on-board_OPTOS_CubeSat | https://www.researchgate.net/publication/333002944_APIS_the_miniaturized_Earth_observation_camera_on-board_OPTOS_CubeSat | https://www.researchgate.net/publication/333002944_APIS_the_miniaturized_Earth_observation_camera_on-board_OPTOS_CubeSat,,National Institute of Aerospace Technology (INTA),Spain,3U,Demonstrate CubeSat platform technologies.
SNaP-1,snap,https://www.nanosats.eu/sat/snap.html,2013-12-06,"Was semi-operational until 2013-12-XX, a few weeks? (Smallsat 2020)",Was semi-operational,—,não,"After a successful on-orbit insertion, SNaP-1 was not contacted until 6 January 2014 when the spacecraft experienced near full sun on-orbit conditions (high beta). It was discovered that the spacecraft went into power saver mode during initial de-tumble maneuver. Due to high momentum in the vehicle the spacecraft was never able to de-tumble leaving it unable to maintain sun-tracking. Contact was lost shortly after the end of on-orbit full sun conditions.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat,High tumble and contact lost after full Sun illumination conditions ended.,US Army Space and Missile Defense Command,,3U,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.
LituanicaSAT-1,lituanicasat-1,https://www.nanosats.eu/sat/lituanicasat-1.html,2014-01-09,Reentry 2014-07-28. Was operational.,"Reentered, Operational",A(fraco) - câmera sem alvo declarado,não,"First 10 Lithuanian pictures from space were captured and retrieved from LituanicaSAT-1;
Greetings from the President were broadcast over 1000 times;
LituanicaSAT-1 received great attention from the community of radio amateurs and was awarded the international designation OSCAR-78 or LO-78 by
Radio Amateur Satellite Corporation
(AMSAT);
LituanicaSAT-1 was covered by NANORACKS customer case study as a success story;
FM repeater worked for more than 650 hours during the mission;
Satellite orbited Earth 2 358 times and traveled over 100 million kilometers;
Over 10 000 telemetry packets were received during the mission;
Signal from the satellite was received by correspondents from more than 20 countries;
The LituanicaSAT-1 mission was dedicated to the 80 years anniversary of the flight across the Atlantic by Lithuanian-American pilots Steponas Darius and Stasys Girėnas. This was why the satellite bore the name of the original aircraft used during this historic flight – “Lituanica”.",https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/ | https://nanoavionics.com/projects/lituanicasat-1-satellite-mission/,,Kaunas University of Technology,,1U,Educational training and demonstrate CubeSat platform technologies.
SkyCube,skycube,https://www.nanosats.eu/sat/skycube.html,2014-01-09,"Reentry 2014-11-08. Was semi-operational until 2014-03-24, contacts only during March 24 (Official Kickstarter)","Reentered, Was semi-operational",A(fraco) - câmera sem alvo declarado,não,,,Electronics worked for at least a month but solar panels and antennas did not deploy.,Southern Stars,,1U,Crowdfunded on Kickstarter. Payloads are camera and tweets names from space.
KickSat,kicksat,https://www.nanosats.eu/sat/kicksat.html,2014-04-18,"Reentry 2014-05-15. Was semi-operational. Sent beacons, but could not receive commands and failed to deploy Sprites due to timer reset.","Reentered, Semi-operational",—,não,,,"Sent beacons, but could not receive commands and failed to deploy Sprites due to timer reset.",Cornell University,,3U,Carry and deploy 104 Sprite chipsats.
DTUSat-2,dtusat-2,https://www.nanosats.eu/sat/dtusat-2.html,2014-06-19,"Semi-operational? (Last JA0CAW report 2019-05-24. Last SatNOGS report 2018-09-15 Last DK3WN report 2016-07-13. Checked on 2019-05-25. Commanding never achieved, only beacon)",Was semi-operational,—,não,,,Battery has been destroyed as a consequence of wrong resistors and deep discharges due to optimizing passive attitude system for antenna directivity.,Technical University of Denmark,Denmark,1U,Satellite-based radio-tracking system capable of locating small birds with intercontinental migrations.
NANOSATC-BR1,nanosatc-br1,https://www.nanosats.eu/sat/nanosatc-br1.html,2014-06-19,"Semi-operational, only beacon in sunlight. Was operational until 2016-XX-XX. (Last SatNOGS report 2019-05-21, but no data. Official news and paper celebrates 4.5 years of operation, but only beacon since 2016 as batteries can no longer hold the minimum voltage)","Was operational, Semi-operational",—,não,,,"Battery can no
longer hold a charge because a probable damage caused by intense magnetic solar storms in September-October 2014. Since 2018 only transmitting in sunlight.",National Institute of Space Research,Brazil,1U,Monitor real time the space weather and atmosphere anomalies over the Brazilian territory.
POPSAT-HIP1,popsat-hip-1,https://www.nanosats.eu/sat/popsat-hip-1.html,2014-06-19,"Was operational until 2015-XX-XX, about 1 year?",Was operational,A - sensoriamento remoto,sim,,,"Only awake when there’s Sun illumination.
Investigation seems to indicate a combined problem among the solar panels, battery charging capability, as well as the EPS itself.",Microspace,Singapore,3U,Demonstrate high resolution optical payload and attitude control with propulsion.
MicroMAS-1,micromas-1,https://www.nanosats.eu/sat/micromas-1.html,2014-07-13,"Reentry 2015-08-01. Was operational until 2015-03-18, two weeks? Transmitter failed.","Reentered, Was operational",—,não,,,Transmitter failed.,MIT (Massachusetts Institute of Technology),US,3U,Microwave spectrometer to observe weather events.
AESP-14,aesp-14,https://www.nanosats.eu/sat/aesp-14.html,2015-01-10,"Reentry 2015-05-11. No signal, likely antenna deployment failure (Official news)","Reentered, No signal",—,não,,,Antenna deployment failure was considered to be the most likely cause.,Technological Institute of Aeronautics,Brazil,1U,Demonstrate CubeSat platform for and Langmuir probe.
CP10,cp10,https://www.nanosats.eu/sat/cp10.html,2015-01-31,Reentry 2024-06-30. Was semi-operational until 2016-07-30. Antennas did not deploy and radio went silent (Official presentation),"Reentered, Was semi-operational",—,não,Experienced an antenna failure which resulted in this situation. That failure was most likely caused by a bad solder joint.,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4615&context=smallsat,Antennas did not deploy and very large dish was needed. Likely by a bad solder joint. Then radio went silent after 6 months.,California Polytechnic State University (Cal Poly),,3U,Measure neutral and ionized species in the exosphere and thermosphere.
BRICSat-P,bricsat-p,https://www.nanosats.eu/sat/bricsat-p.html,2015-05-20,Was semi-operational until 2018-XX-XX? Possibly still now too. Power problems prohibited consistent communication (eoPortal and Last DK3WN report 2017-01-02. Tweet from @leafnode3 from 2018-08-30.),Was semi-operational,—,não,,,Negative power budget prohibited consistent communication.,US Naval Academy Satellite Lab,US,1.5U,Demonstrate propusion system and maneuvers in space plus APRS transponder.
Deorbitsail,deorbitsail,https://www.nanosats.eu/sat/deorbitsail.html,2015-07-10,"Semi-operational? Was operational until 2019-05-19 checked on 2019-05-24. Sail not deployed due to high spin rates. (Last SatNOGS report 2019-05-19, but no data. Last JA0CAW report 2016-01-14 had correct telemetry. Later reports have no or corrupt telemetry)","Was operational, Semi-operational, ?",—,não,,,Very high spin rates prohibited the deployment of the solar sail.,EU FP7 consortium,UK,3U,Deploy a 5-metre solar sail to demonstrate deorbiting.
ARC-1,arc1,https://www.nanosats.eu/sat/arc1.html,2015-10-08,No signal,No signal,—,não,,,Did not turn on with separation switch failure thought to be the main cause.,University of Alaska,US,1U,Educational training and demonstrate CubeSat platform technologies.
LMRSTSat,lmrstsat,https://www.nanosats.eu/sat/lmrstsat.html,2015-10-08,No signal (Listed as Failure in NASA's CubeSat Fleet Missions Database as of 2022-01-01),No signal,—,não,Marked as Failure in the NASA SmallSat/CubeSat Fleet Missions Database.,https://s3vi.ndc.nasa.gov/cubesat/,,Stanford University,US,2U,Far-field source for calibration of the Deep Space Network in X-band.
SNaP-3 A ALICE,snap-3,https://www.nanosats.eu/sat/snap-3.html,2015-10-08,,"Reentered, Was operational",—,não,"Initial contact was made with Alice and Jimi on the first available pass visible to Redstone Arsenal ground stations while initial contact with Eddie was made on 9 October. During this mission, the SNaP spacecraft successfully completed all mission objectives. This included successfully relaying BLOS voice communications between two users with PRC-152 tactical radios using man-portable and standard whip antennas (in unobstructed and obstructed skies) between Redstone Arsenal and other BLOS locations, relaying text communications between PRC-117 and PRC-152 tactical radios and successfully demonstrating an encrypt/decrypt test of the KI-55 on all three satellites. The KI-55 is a 2013 NSA-approved type 1 encryption device developed for use on small satellites. This was the first successful demonstration of the KI-55 in space.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat,,US Army Space and Missile Defense Command,US,3U,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.
SNaP-3 B EDDIE,snap-3,https://www.nanosats.eu/sat/snap-3.html,2015-10-08,,Was operational,—,não,"Initial contact was made with Alice and Jimi on the first available pass visible to Redstone Arsenal ground stations while initial contact with Eddie was made on 9 October. During this mission, the SNaP spacecraft successfully completed all mission objectives. This included successfully relaying BLOS voice communications between two users with PRC-152 tactical radios using man-portable and standard whip antennas (in unobstructed and obstructed skies) between Redstone Arsenal and other BLOS locations, relaying text communications between PRC-117 and PRC-152 tactical radios and successfully demonstrating an encrypt/decrypt test of the KI-55 on all three satellites. The KI-55 is a 2013 NSA-approved type 1 encryption device developed for use on small satellites. This was the first successful demonstration of the KI-55 in space.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat,,US Army Space and Missile Defense Command,US,3U,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.
SNAP-3 C JIMI,snap-3,https://www.nanosats.eu/sat/snap-3.html,2015-10-08,,Was operational,—,não,"Initial contact was made with Alice and Jimi on the first available pass visible to Redstone Arsenal ground stations while initial contact with Eddie was made on 9 October. During this mission, the SNaP spacecraft successfully completed all mission objectives. This included successfully relaying BLOS voice communications between two users with PRC-152 tactical radios using man-portable and standard whip antennas (in unobstructed and obstructed skies) between Redstone Arsenal and other BLOS locations, relaying text communications between PRC-117 and PRC-152 tactical radios and successfully demonstrating an encrypt/decrypt test of the KI-55 on all three satellites. The KI-55 is a 2013 NSA-approved type 1 encryption device developed for use on small satellites. This was the first successful demonstration of the KI-55 in space.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=4712&context=smallsat,,US Army Space and Missile Defense Command,US,3U,Related to the SMDC NAnosatellite Program (SNaP) - Joint Capabilities Technology Demonstrations.
SamSat-218/D,samsat-218d,https://www.nanosats.eu/sat/samsat-218d.html,2016-04-28,"Reentry 2022-03-04. Was semi-operational? (Lack of reports with telemetry. Maybe fragmentary data but unknown if correct satellite. Last SatNOGS reports 2019-04-12, but suspicious data)","Reentered, Semi-operational, ?",—,não,"“Currently, fragmentary Morse code signals are being heard coming from the nanosatellite, against the background of the noise during the satellite’s pass over the receiving station,” Interfax said in a
press release
.
“There are currently no sufficient grounds to believe the nanosatellite established contact. There were fragmentary weak signals at the frequency of 145.870 MHz against a background of noises when the nanosatellite was in the area of [radio visibility] of the ground control center, which can’t be with confidence interpreted as signals from the satellite,” Igor Belokonov, the head of the SamSat-218 project told
TASS.",https://www.spaceflightinsider.com/organizations/roscosmos/russia-loses-contact-with-its-nanosatellite-launched-from-vostochny/ | https://www.spaceflightinsider.com/organizations/roscosmos/russia-loses-contact-with-its-nanosatellite-launched-from-vostochny/,,Samara University,Russia,3U,Demonstration of navigation and control technologies.
ALSAT-Nano,alsat-nano,https://www.nanosats.eu/sat/alsat-nano.html,2016-09-26,Operational (4S 2024 paper),Operational,A - sensoriamento remoto,sim,"Achieved its mission objectives and has exceeded its performance expectations.
The experiment has provided the first in-orbit current/voltage (I/V) measurements of this novel technology, and more than five years of flight results have now yielded new insights into its longer term performance and inherent radiation hardness, which makes them particularly attractive for maintaining high end-of-life (EOL) performance for long duration space missions. The results help to strengthen the argument for further development this technology for space application. The data, collected over nearly 30,000 orbits, show no signs of cell delamination (a potential risk for such technologies), no deterioration in short circuit current or in series resistance. However, all four cell’s fill factors were observed to decrease over the duration of the mission, caused primarily by a decrease in their shunt resistance. This has been attributed to the diffusion of gold atoms from the back electrical contacts. We conclude therefore that further development of this technology should utilise more stable back contacting methodologies more commonly employed for terrestrial CdTe modules.","https://africanews.space/algerias-alsat-1n-exceeds-three-years-of-operation-in-orbit/ | https://iafastro.directory/iac/paper/id/69285/abstract-pdf/IAC-22,C3,3,8,x69285.brief.pdf?2022-03-30.11:58:28",,UK Space Agency,UK,3U,Educational training and demonstrate thin-film solar cells.
CanX-7,canx-7,https://www.nanosats.eu/sat/canx-7.html,2016-09-26,Reentry 2022-04-21. Was operational (Personal contact 2018-08-10),"Reentered, Operational",C - sinais cooperativos (AIS/ADS-B/RF),sim,Successfully demonstrated its drag sail technology when the CanX-7 satellite deorbited last month.,https://spaceq.ca/space-flight-laboratory-successfully-demonstrates-drag-sail-technology/,,Space Flight Laboratory,Canada,3U,Demonstrate deployable drag sail.
Tancredo 1,tancredo-1,https://www.nanosats.eu/sat/tancredo-1.html,2016-12-09,"Reentry 2017-10-18. Was operational until 2017-01-22, 3 days, went silent.","Reentered, Was operational",—,não,,,All telemetry normal and failure cause could not be determined for sure. Possibly single-event latchup or DC-DC converted damage.,Presidente Tancredo de Almeida Neves,Brazil,TubeSat,One of the first TubeSats for educational training.
